Feature Group,R2_Train,R2_Test,MSE_Test
"('Lab', 'GRAY', 'LBP')",0.7584973041753926,0.8016957154140102,31.092447772548244
"('Lab', 'GRAY', 'Temp')",0.7501615608874357,0.8669524598460507,20.86073784103677
"('Lab', 'GRAY', 'Yellow')",0.6123230328052895,0.7460799527979864,39.812532656641196
"('Lab', 'GRAY', 'Cyan')",0.6123057578710771,0.745393481855351,39.92016553999431
"('Lab', 'GRAY', 'Magenta')",0.6118285532886658,0.7423639962919921,40.39516345470442
"('Lab', 'GRAY', 'Brightness')",0.6118064476108658,0.7421844375755045,40.423316754700714
"('Lab', 'GRAY', 'Chroma')",0.6136879603615173,0.7456877055660933,39.8740337310987
"('Lab', 'GRAY', 'Day')",0.7368792943755791,0.8149841982687137,29.008925169903165
"('Lab', 'GLCM', 'LBP')",0.7964061198271678,0.8145356902281026,29.079247467060704
"('Lab', 'GLCM', 'Temp')",0.7954128394853104,0.867089829248575,20.83919947144254
"('Lab', 'GLCM', 'Yellow')",0.7099000817856613,0.7801253489155575,34.4745002339364
"('Lab', 'GLCM', 'Cyan')",0.7032032001268653,0.7796781439777247,34.544618215513154
"('Lab', 'GLCM', 'Magenta')",0.7032856670422756,0.7568637491538732,38.12172387918479
"('Lab', 'GLCM', 'Brightness')",0.7021924338810138,0.7559489985472174,38.265149098270356
"('Lab', 'GLCM', 'Chroma')",0.7080333298707927,0.7829962589432661,34.024365632545546
"('Lab', 'GLCM', 'Day')",0.7988203820417874,0.8315062564498565,26.418405090295767
"('Lab', 'LBP', 'Temp')",0.839106599436217,0.8884866554684206,17.48435666949412
"('Lab', 'LBP', 'Yellow')",0.7629433054954933,0.810262922119713,29.749181651950728
"('Lab', 'LBP', 'Cyan')",0.7601438184992759,0.8105271090087459,29.707759364648172
"('Lab', 'LBP', 'Magenta')",0.758386454682944,0.8000348554842343,31.352856672597415
"('Lab', 'LBP', 'Brightness')",0.758313754786448,0.8004999232016867,31.27993795707002
"('Lab', 'LBP', 'Chroma')",0.7639796019041682,0.8180154299940818,28.53365347164274
"('Lab', 'LBP', 'Day')",0.8222767947759618,0.8389860533362568,25.24563570447434
"('Lab', 'Temp', 'Yellow')",0.746507230100872,0.8604878415088247,21.87433574911676
"('Lab', 'Temp', 'Cyan')",0.7466442653598035,0.8631175477301316,21.462019880532118
"('Lab', 'Temp', 'Magenta')",0.74999659740838,0.8636594221120695,21.377058524528827
"('Lab', 'Temp', 'Brightness')",0.7490826392942271,0.8642387784624832,21.286220310394725
"('Lab', 'Temp', 'Chroma')",0.7465779485719302,0.8621574245775642,21.612559134077454
"('Lab', 'Temp', 'Day')",0.7617305115109831,0.8621234841103057,21.61788071453554
"('Lab', 'Yellow', 'Cyan')",0.6040923165399756,0.741400533163133,40.54622638850521
"('Lab', 'Yellow', 'Magenta')",0.6036548974370783,0.7424964887300778,40.37438975220961
"('Lab', 'Yellow', 'Brightness')",0.604416618966872,0.7440906761992647,40.12443453450552
"('Lab', 'Yellow', 'Chroma')",0.6028235402935715,0.7338865791268039,41.7243513288092
"('Lab', 'Yellow', 'Day')",0.7177895762750072,0.7898873744270762,32.94389655078923
"('Lab', 'Cyan', 'Magenta')",0.6039611556326381,0.7412804669014472,40.56505177081354
"('Lab', 'Cyan', 'Brightness')",0.6039656760138212,0.7411741804650332,40.581716592151274
"('Lab', 'Cyan', 'Chroma')",0.6046903358821422,0.7416766695717301,40.5029305168082
"('Lab', 'Cyan', 'Day')",0.719759323354787,0.8042437472288286,30.692937765538378
"('Lab', 'Magenta', 'Brightness')",0.6018642889203725,0.7341235948906328,41.687189245934846
"('Lab', 'Magenta', 'Chroma')",0.6028571134358736,0.7348453639953794,41.57402190696371
"('Lab', 'Magenta', 'Day')",0.7225697595273246,0.7994201158793593,31.449242684116008
"('Lab', 'Brightness', 'Chroma')",0.6030883852967734,0.7358953364313026,41.40939503974946
