Model,Feature_Groups,R² Score
Ridge,"('GLCM', 'Chroma')",0.6591805250166607
Lasso,"('GLCM', 'Chroma')",0.5096501247914016
ElasticNet,"('GLCM', 'Chroma')",0.46459801448316473
BayesianRidge,"('GLCM', 'Chroma')",0.6581018001605242
ARDRegression,"('GLCM', 'Chroma')",0.654545205909864
HuberRegressor,"('GLCM', 'Chroma')",0.6302954062804289
RANSACRegressor,"('GLCM', 'Chroma')",0.3332011223579856
PassiveAggressiveRegressor,"('GLCM', 'Chroma')",0.6231932990737754
LinearSVR,"('GLCM', 'Chroma')",0.5984024372824972
LinearRegression,"('LBP', 'Temp')",0.8711614920566034
Ridge,"('LBP', 'Temp')",0.8402478433418202
Lasso,"('LBP', 'Temp')",0.6699908098762989
ElasticNet,"('LBP', 'Temp')",0.5268999471232079
BayesianRidge,"('LBP', 'Temp')",0.8650302115210335
ARDRegression,"('LBP', 'Temp')",0.8565593008366637
HuberRegressor,"('LBP', 'Temp')",0.8710242935366856
RANSACRegressor,"('LBP', 'Temp')",0.8477274129774099
PassiveAggressiveRegressor,"('LBP', 'Temp')",0.780647805409571
LinearSVR,"('LBP', 'Temp')",0.8167341654204842
LinearRegression,"('LBP', 'Yellow')",0.7475640797053456
Ridge,"('LBP', 'Yellow')",0.7054078271816848
Lasso,"('LBP', 'Yellow')",0.47129183572860844
ElasticNet,"('LBP', 'Yellow')",0.38225975358768916
BayesianRidge,"('LBP', 'Yellow')",0.742645366315148
ARDRegression,"('LBP', 'Yellow')",0.7448456053487713
HuberRegressor,"('LBP', 'Yellow')",0.7499845735662708
RANSACRegressor,"('LBP', 'Yellow')",0.6566973501116301
PassiveAggressiveRegressor,"('LBP', 'Yellow')",-0.027271869506167334
LinearSVR,"('LBP', 'Yellow')",0.6733598154521214
LinearRegression,"('LBP', 'Cyan')",0.7470585013571817
Ridge,"('LBP', 'Cyan')",0.7004495535137367
Lasso,"('LBP', 'Cyan')",0.4666257408856739
ElasticNet,"('LBP', 'Cyan')",0.3986692888720538
BayesianRidge,"('LBP', 'Cyan')",0.7448076992385928
ARDRegression,"('LBP', 'Cyan')",0.7306435470592176
