Filename,GLCM_contrast,GLCM_dissimilarity,GLCM_homogeneity,GLCM_energy,GLCM_correlation,GLCM_ASM,LBP_0,LBP_1,LBP_2,LBP_3,LBP_4,LBP_5,LBP_6,LBP_7,LBP_8,LBP_9
6_10_7.png,25.09375841,1.60371512,0.69882876,0.329847794,0.992448205,0.108799567,419898,863874,305355,1142003,1004396,1739046,926666,1160212,8595170,1691700
8_10_6.png,21.59210316,1.392364312,0.749868682,0.476983643,0.991464455,0.227513396,348982,694157,263577,892726,855231,1325573,747782,901150,10477946,1341196
6_5_6.png,23.59330413,1.542067515,0.705241515,0.333335701,0.99396244,0.11111269,413851,857121,300063,1126195,960298,1713553,915943,1159495,8707865,1693936
7_15_7.png,12.17782103,1.144439426,0.731964805,0.3739045,0.991241247,0.139804575,382968,802830,273040,1052244,863851,1610244,852392,1095313,9329717,1585721
4_20_10.png,15.88339999,1.401591922,0.683673495,0.30371877,0.992151471,0.092245091,451540,915454,342550,1187961,1043153,1759622,999368,1207196,8134129,1807347
4_15_1.png,18.71195102,1.574679329,0.658233747,0.27774838,0.992876476,0.077144163,493590,966484,381460,1235514,1142268,1797134,1050030,1249618,7626626,1905596
5_5_10.png,31.58027353,1.81063112,0.680380406,0.292635785,0.992720821,0.085635703,450046,930151,324186,1198588,1048187,1803704,998867,1235324,8029275,1829992
8_15_8.png,9.583254613,1.061582933,0.730657011,0.359748634,0.991160616,0.12941908,377104,808631,272134,1097469,885157,1687018,876126,1118035,9120357,1606289
5_15_7.png,21.21766582,1.582481798,0.665383196,0.256397804,0.991211148,0.065739834,475510,974333,347722,1263711,1088080,1905508,1054258,1305100,7504873,1929225
4_5_3.png,35.77563865,2.049585291,0.649940791,0.273747812,0.993619407,0.074937865,489089,966734,373056,1245151,1207469,1828804,1040201,1242089,7567570,1888157
8_5_1.png,31.02738121,1.855054854,0.665543532,0.250958004,0.994106649,0.06297992,457324,948324,337158,1290312,1140280,1973870,1018820,1287886,7523262,1871084
